index,unit1_rgb,unit1_beam_32,unit1_beam_64
1,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9887_03_41_07.jpg,19,37
2,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2584_03_25_28.jpg,19,34
3,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8579_03_38_17.jpg,2,4
4,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6811_03_34_29.jpg,26,51
5,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4341_03_29_13.jpg,15,29
6,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5901_03_32_33.jpg,6,11
7,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6261_03_33_19.jpg,15,28
8,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8583_03_38_18.jpg,6,10
9,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9511_03_40_19.jpg,18,34
10,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1312_03_22_46.jpg,27,53
11,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7854_03_36_43.jpg,24,47
12,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6517_03_33_52.jpg,19,37
13,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1306_03_22_45.jpg,24,47
14,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4322_03_29_10.jpg,6,10
15,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3667_03_27_47.jpg,4,7
16,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5338_03_31_21.jpg,3,6
17,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5920_03_32_35.jpg,14,27
18,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2600_03_25_30.jpg,23,44
19,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9530_03_40_21.jpg,25,49
20,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1072_03_22_15.jpg,2,2
21,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4079_03_28_39.jpg,28,55
22,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_620_03_21_17.jpg,12,23
23,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4094_03_28_41.jpg,22,43
24,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2877_03_26_06.jpg,6,10
25,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4070_03_28_38.jpg,30,58
26,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2884_03_26_07.jpg,3,6
27,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9274_03_39_48.jpg,24,47
28,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1035_03_22_11.jpg,14,27
29,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9291_03_39_50.jpg,14,27
30,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9926_03_41_12.jpg,3,6
31,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9544_03_40_23.jpg,30,60
32,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1283_03_22_42.jpg,13,26
33,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6503_03_33_50.jpg,15,29
34,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4376_03_29_17.jpg,30,58
35,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5916_03_32_35.jpg,12,22
36,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2049_03_24_20.jpg,27,53
37,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3639_03_27_43.jpg,17,34
38,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9888_03_41_08.jpg,18,34
39,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2566_03_25_26.jpg,14,27
40,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7822_03_36_39.jpg,8,14
41,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3599_03_27_38.jpg,30,59
42,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2891_03_26_08.jpg,2,2
43,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2805_03_25_57.jpg,30,59
44,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6530_03_33_54.jpg,23,44
45,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3596_03_27_38.jpg,30,60
46,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8057_03_37_09.jpg,28,55
47,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6467_03_33_46.jpg,2,3
48,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2005_03_24_15.jpg,2,3
49,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6485_03_33_48.jpg,9,16
50,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1298_03_22_44.jpg,20,39
51,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2881_03_26_06.jpg,4,8
52,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_670_03_21_23.jpg,26,51
53,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1012_03_22_08.jpg,22,43
54,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3611_03_27_40.jpg,27,53
55,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1268_03_22_41.jpg,6,11
56,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6558_03_33_57.jpg,30,59
