index,unit1_rgb,unit2_pos,unit1_beam_32,unit1_beam_64
1299,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_641_03_21_20.jpg,"[0.04358036426759274, 0.05163251701349946]",18,34
655,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_642_03_21_20.jpg,"[0.04413566774099956, 0.03432911068176811]",19,37
573,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9502_03_40_18.jpg,"[0.07763483616291396, 0.043403302011896204]",14,27
1133,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2823_03_25_59.jpg,"[0.028822160663781026, 0.008055058699619573]",25,49
629,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9302_03_39_52.jpg,"[0.00866715270370848, 0.055278521535140686]",7,13
1134,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1310_03_22_46.jpg,"[0.03715517022635764, 0.03243699832218534]",26,52
410,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_640_03_21_20.jpg,"[0.049600507906950704, 0.05600315014362495]",18,34
1142,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6277_03_33_21.jpg,"[0.07858118438917465, 0.08760262696746589]",7,14
809,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4068_03_28_38.jpg,"[0.034957982759925066, 0.003268503390275181]",30,60
76,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4335_03_29_12.jpg,"[0.16823474264737126, 0.12566528863812199]",12,22
1049,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4126_03_28_45.jpg,"[0.08796707887225577, 0.0650718937132366]",6,11
1148,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3676_03_27_48.jpg,"[0.495396683052104, 0.47291055207318355]",2,2
941,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4091_03_28_41.jpg,"[0.029047598872117452, 0.03159452605200319]",23,44
1153,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_687_03_21_26.jpg,"[0.02786186538953901, 0.02046643343242843]",31,61
828,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5947_03_32_39.jpg,"[0.07306149364796935, 0.08301134997894967]",26,51
1234,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5914_03_32_35.jpg,"[0.03174723167212859, 0.044849672871538473]",11,21
61,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6219_03_33_14.jpg,"[0.025297835400573, 0.011451097030827157]",30,60
495,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6513_03_33_51.jpg,"[0.03609437416519153, 0.06503534593040342]",17,33
108,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5356_03_31_23.jpg,"[0.14102657188065335, 0.15216673205572198]",12,22
1067,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1038_03_22_11.jpg,"[0.056184862378090034, 0.018307074968352825]",13,26
773,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2849_03_26_02.jpg,"[0.04389968134511423, 0.03023365636004536]",15,29
1287,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8097_03_37_15.jpg,"[0.03341958820696222, 0.03201310520915816]",15,29
1196,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4102_03_28_42.jpg,"[0.05596223701976667, 0.012683609839037805]",18,34
159,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5369_03_31_25.jpg,"[0.05286991863772735, 0.02555699289353978]",19,37
1009,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6804_03_34_29.jpg,"[0.02375908924135851, 0.00914872051698291]",29,57
1244,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1278_03_22_42.jpg,"[0.03942127251810963, 0.011846413294829458]",11,20
1539,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8582_03_38_18.jpg,"[0.08401824766124705, 0.14160860899081193]",4,7
995,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_682_03_21_25.jpg,"[0.05493918002960877, 0.0209735339192384]",30,59
1526,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6810_03_34_29.jpg,"[0.06006700560337304, 0.0490611167048886]",26,51
661,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6841_03_34_33.jpg,"[0.043080848986111135, 0.03955060754476603]",11,21
1402,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9912_03_41_11.jpg,"[0.0564364952521729, 0.19891486344997114]",7,13
1039,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5892_03_32_32.jpg,"[0.6700121415498792, 0.6158447636747153]",3,4
9,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9511_03_40_19.jpg,"[0.09461009298637531, 0.05490172765689432]",18,34
1268,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2865_03_26_04.jpg,"[0.04601260051323964, 0.03375617830998044]",12,22
1523,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5355_03_31_23.jpg,"[0.09393559499366615, 0.06584241731470326]",11,21
1280,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2041_03_24_19.jpg,"[0.05686369684790271, 0.040701575979772565]",23,45
803,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3672_03_27_47.jpg,"[0.16560179783308587, 0.11774525793951361]",2,3
1087,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2589_03_25_29.jpg,"[0.06168328094107177, 0.02642318681565496]",20,38
1470,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1316_03_22_47.jpg,"[0.03925267732045327, 0.0052186487355700166]",29,57
635,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8047_03_37_08.jpg,"[0.01641696469691572, 0.00846645063588269]",30,59
1010,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6534_03_33_54.jpg,"[0.06564898925215869, 0.041308265351813034]",24,47
224,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4362_03_29_16.jpg,"[0.015115787161718908, 0.026854018655234648]",25,48
1241,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4084_03_28_40.jpg,"[0.05197039264397527, 0.015315929490686955]",26,52
1298,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1016_03_22_08.jpg,"[0.027751285223401517, 0.008681149745078269]",21,42
1025,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6523_03_33_53.jpg,"[0.051769859878462623, 0.03444016853650693]",20,39
195,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4124_03_28_45.jpg,"[0.11833343559215152, 0.16247840608084765]",6,10
675,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8077_03_37_12.jpg,"[0.06894113718720743, 0.035680269979542226]",23,45
1071,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2570_03_25_27.jpg,"[0.037876783456785204, 0.04386888482908608]",15,29
917,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5347_03_31_22.jpg,"[0.06637775180970273, 0.11589923172240507]",7,14
