index,unit1_rgb,unit2_pos,unit1_beam_32,unit1_beam_64
1,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9887_03_41_07.jpg,"[0.022515633732470904, 0.012442455640176386]",19,37
2,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2584_03_25_28.jpg,"[0.033647077451766504, 0.036028563468560454]",19,34
3,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8579_03_38_17.jpg,"[0.6011688095016667, 0.5474944076826803]",2,4
4,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6811_03_34_29.jpg,"[0.049507449452352754, 0.06663752274081611]",26,51
5,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4341_03_29_13.jpg,"[0.04739406147589184, 0.03766445904932758]",15,29
6,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5901_03_32_33.jpg,"[0.010306341048805116, 0.13118006616639658]",6,11
7,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6261_03_33_19.jpg,"[0.046233936648640395, 0.01472441738829584]",15,28
8,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_8583_03_38_18.jpg,"[0.05086576300343937, 0.024012868183788325]",6,10
9,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9511_03_40_19.jpg,"[0.09461009298637531, 0.05490172765689432]",18,34
10,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1312_03_22_46.jpg,"[0.04292309498121338, 0.013408353137217143]",27,53
11,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_7854_03_36_43.jpg,"[0.05846163005947479, 0.026739558339541707]",24,47
12,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_6517_03_33_52.jpg,"[0.03123916063852399, 0.009367299960862161]",19,37
13,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1306_03_22_45.jpg,"[0.017424199405750282, 0.01004001236737214]",24,47
14,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4322_03_29_10.jpg,"[0.1355270984989167, 0.07790215344238731]",6,10
15,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_3667_03_27_47.jpg,"[0.0812082690992662, 0.07775741504719243]",4,7
16,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5338_03_31_21.jpg,"[0.16708997129310754, 0.3254791854929005]",3,6
17,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_5920_03_32_35.jpg,"[0.032110733935271515, 0.055440234005207874]",14,27
18,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_2600_03_25_30.jpg,"[0.03262185222305689, 0.027014106354621502]",23,44
19,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_9530_03_40_21.jpg,"[0.07796634225715861, 0.05181877307831444]",25,49
20,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_1072_03_22_15.jpg,"[0.4237570264846823, 0.36244147599903087]",2,2
21,../../..//Data/Scenario5/development_dataset/unit1/camera_data/image_BS1_4079_03_28_39.jpg,"[0.01055387184995226, 0.006895507652430972]",28,55
