index,unit2_pos,unit1_beam_32,unit1_beam_64
1,"[0.458303400996863, 0.8798701296379362]",19,37
2,"[0.3443484329210651, 0.08982683970949462]",19,34
3,"[0.6222162927665967, 0.08225108212325087]",2,4
4,"[0.18560784877089626, 0.8322510822385987]",26,51
5,"[0.3916381026627444, 0.08225108212325087]",15,29
6,"[0.5613595779994403, 0.06385281405105236]",6,11
7,"[0.46318835819798004, 0.8333333332564348]",15,28
8,"[0.5795037047610301, 0.0790043289159456]",6,10
9,"[0.40290634428230315, 0.1255411254512441]",18,34
10,"[0.1373329775674542, 0.12987012967638545]",27,53
11,"[0.20104267154545233, 0.1320346320196518]",24,47
12,"[0.3326081155953056, 0.03896103879525764]",19,37
13,"[0.20266414892544454, 0.11255411262202297]",24,47
14,"[0.5590402495907171, 0.06385281405105236]",6,10
15,"[0.7461464255643541, 0.7564935063761613]",4,7
16,"[0.615689333138931, 0.02272727275873123]",3,6
17,"[0.40588247367039615, 0.07359307351917108]",14,27
18,"[0.2565218283733185, 0.09523809526006626]",23,44
19,"[0.26194043636197, 0.12987012967638545]",25,49
20,"[0.8505983046243933, 0.8019480517398266]",2,2
21,"[0.12873298988556808, 0.8755411255665919]",28,55
22,"[0.449559738105753, 0.08874458869165856]",12,23
23,"[0.3088401305399226, 0.8398268395172482]",22,43
24,"[0.6843866094633251, 0.7673160173235074]",6,10
25,"[0.038258656432121396, 0.9080086581010361]",30,58
26,"[0.7723363641883231, 0.754329004186692]",3,6
27,"[0.3452310092229651, 0.9134199133440135]",24,47
28,"[0.49227232609673566, 0.7987012985325214]",14,27
29,"[0.5732230455024512, 0.8928571426209544]",14,27
30,"[0.9687198538551886, 0.8387445884994121]",3,6
31,"[0.14424991277343047, 0.13636363624479314]",30,60
32,"[0.4231645491620586, 0.06277056272562205]",13,26
33,"[0.40446624659554553, 0.04004329012068795]",15,29
34,"[0.07664046304149418, 0.12012987020826672]",30,58
35,"[0.4377783707306323, 0.07359307351917108]",12,22
36,"[0.14057593235660643, 0.09415584424223021]",27,53
37,"[0.4221998727468523, 0.753246753168856]",17,34
38,"[0.4683196157681837, 0.876623376584428]",18,34
39,"[0.41154738202813435, 0.08874458869165856]",14,27
40,"[0.5056341208170713, 0.11363636363985903]",8,14
41,"[0.0468996941779526, 0.8690476189981843]",30,59
42,"[0.8724574618667523, 0.7499999998077536]",2,2
43,"[0.031177520984948665, 0.8993506491893621]",30,59
44,"[0.2637671640616877, 0.03679653675958554]",23,44
45,"[0.016112148771314536, 0.8820346318274054]",30,60
46,"[0.10898791076137462, 0.8841991341706718]",28,55
47,"[0.6574782947786526, 0.032467532534444205]",2,3
48,"[0.6729952176665149, 0.050865800914236974]",2,3
49,"[0.5125100059591025, 0.03787878777742159]",9,16
50,"[0.28620102214094245, 0.0909090908811278]",20,39
51,"[0.7334003817594432, 0.7597402597372637]",4,8
52,"[0.16951622503155425, 0.1168831168471643]",26,51
53,"[0.2926048315913567, 0.8192640691017833]",22,43
54,"[0.1573654071100955, 0.825757575670191]",27,53
55,"[0.5501734365077717, 0.04653679668909564]",6,11
56,"[0.07389010899051528, 0.05952380951831677]",30,59
57,"[0.19704029063165146, 0.01731601720815959]",25,49
58,"[0.07144763038995677, 0.14610389617430322]",29,57
59,"[0.6240019704023694, 0.7489177489437147]",9,16
60,"[0.20301307443981004, 0.8744588742411616]",26,52
61,"[0.0118224174390658, 0.9220779219480933]",30,60
62,"[0.5107038032913573, 0.08008658008757877]",9,17
63,"[0.38646579504317957, 0.07792207789810954]",15,29
64,"[0.5915313725052375, 0.8170995669123141]",9,17
65,"[0.2655528416828764, 0.8625541124297765]",23,45
66,"[0.6610701750821703, 0.7716450215486488]",7,13
67,"[0.17462695758436927, 0.10606060605361528]",26,51
68,"[0.16592434474262044, 0.8333333332564348]",26,54
69,"[0.04809014593027303, 0.9036796535683006]",30,58
