index,unit2_pos,unit1_beam_32,unit1_beam_64
1299,"[0.35225056957422024, 0.09632034643169944]",18,34
655,"[0.3468730116349299, 0.09740259744953549]",19,37
573,"[0.46320888324453646, 0.12229437224393883]",14,27
1133,"[0.21142833686311105, 0.8387445884994121]",25,49
629,"[0.7260113708618501, 0.8841991341706718]",7,13
1134,"[0.1592331848737583, 0.12445887443340806]",26,52
410,"[0.35756655241759294, 0.09632034643169944]",18,34
1142,"[0.6352907370539006, 0.8116883115155396]",7,14
809,"[0.018575152403845583, 0.9166666665513188]",30,60
76,"[0.44633730834857327, 0.07575757586243743]",12,22
1049,"[0.7200180620217189, 0.7954545454790132]",6,11
1148,"[0.8568584388655837, 0.7673160173235074]",2,2
941,"[0.2730034276763872, 0.8441558440499838]",23,44
1153,"[0.03840233164134532, 0.14177489164156765]",31,61
828,"[0.17503745818006852, 0.08874458869165856]",26,51
1234,"[0.45352106894102484, 0.07251082250133503]",11,21
61,"[0.0118224174390658, 0.9220779219480933]",30,60
495,"[0.352681595201892, 0.03896103879525764]",17,33
108,"[0.4442232302304078, 0.009740259775712974]",12,22
1067,"[0.5181338642528955, 0.7976190475146853]",13,26
773,"[0.4366905441235907, 0.8030303030652569]",15,29
1287,"[0.45752344985482574, 0.8138528138588059]",15,29
1196,"[0.41725334044981766, 0.825757575670191]",18,34
159,"[0.3292830606928471, 0.0]",19,37
1009,"[0.10769483384919146, 0.8474025974110863]",29,57
1244,"[0.46495351080178005, 0.05627705615721436]",11,20
1539,"[0.5900946203838304, 0.0790043289159456]",4,7
995,"[0.08109439461493939, 0.13095238100181575]",30,59
1526,"[0.17429855708739242, 0.8344155842742709]",26,51
661,"[0.5627347550395136, 0.754329004186692]",11,21
1402,"[0.7671435315367856, 0.8344155842742709]",7,13
1039,"[0.6301389544517244, 0.05952380951831677]",3,4
9,"[0.40290634428230315, 0.1255411254512441]",18,34
1268,"[0.5428254756741236, 0.7889610389106055]",12,22
1523,"[0.4526590176710974, 0.009740259775712974]",11,21
1280,"[0.2424621826388358, 0.08333333344868118]",23,45
